timestamp,building,floor,washroom,occupancy,water_flow_lpm,flush_count,sensor_status
2026-09-19 14:45:00,Block A,Floor 1,Washroom 1,9,2.15,4,Healthy
2026-09-19 15:00:00,Block A,Floor 1,Washroom 1,11,2.12,2,Healthy
2026-09-19 15:15:00,Block A,Floor 1,Washroom 1,7,1.18,4,Healthy
2026-09-19 15:30:00,Block A,Floor 1,Washroom 1,17,3.25,2,Healthy
2026-09-19 15:45:00,Block A,Floor 1,Washroom 1,18,3.42,2,Healthy
2026-09-19 16:00:00,Block A,Floor 1,Washroom 1,18,3.36,3,Healthy
2026-09-19 16:15:00,Block A,Floor 1,Washroom 1,8,1.71,2,Healthy
2026-09-19 16:30:00,Block A,Floor 1,Washroom 1,13,2.74,1,Healthy
2026-09-19 16:45:00,Block A,Floor 1,Washroom 1,3,0.68,1,Healthy
2026-09-19 17:00:00,Block A,Floor 1,Washroom 1,8,1.53,2,Healthy
2026-09-19 17:15:00,Block A,Floor 1,Washroom 1,10,1.89,3,Healthy
2026-09-19 17:30:00,Block A,Floor 1,Washroom 1,9,1.73,2,Healthy
2026-09-19 17:45:00,Block A,Floor 1,Washroom 1,12,2.35,6,Healthy
2026-09-19 18:00:00,Block A,Floor 1,Washroom 1,16,2.9,4,Healthy
2026-09-19 18:15:00,Block A,Floor 1,Washroom 1,5,0.95,0,Healthy
2026-09-19 18:30:00,Block A,Floor 1,Washroom 1,3,0.67,1,Healthy
2026-09-19 18:45:00,Block A,Floor 1,Washroom 1,5,0.82,2,Healthy
2026-09-19 19:00:00,Block A,Floor 1,Washroom 1,0,0.08,0,Healthy
2026-09-19 19:15:00,Block A,Floor 1,Washroom 1,4,0.69,0,Healthy
2026-09-19 19:30:00,Block A,Floor 1,Washroom 1,3,0.77,0,Healthy
2026-09-19 19:45:00,Block A,Floor 1,Washroom 1,1,0.08,0,Healthy
2026-09-19 20:00:00,Block A,Floor 1,Washroom 1,1,0.37,0,Healthy
2026-09-19 20:15:00,Block A,Floor 1,Washroom 1,2,0.69,0,Healthy
2026-09-19 20:30:00,Block A,Floor 1,Washroom 1,2,0.52,2,Healthy
2026-09-19 20:45:00,Block A,Floor 1,Washroom 1,1,0.71,0,Healthy
2026-09-19 21:00:00,Block A,Floor 1,Washroom 1,2,0.37,0,Healthy
2026-09-19 21:15:00,Block A,Floor 1,Washroom 1,2,0.31,1,Healthy
2026-09-19 21:30:00,Block A,Floor 1,Washroom 1,2,0.2,3,Healthy
2026-09-19 21:45:00,Block A,Floor 1,Washroom 1,2,0.52,1,Healthy
2026-09-19 22:00:00,Block A,Floor 1,Washroom 1,1,0.36,1,Healthy
2026-09-19 22:15:00,Block A,Floor 1,Washroom 1,1,0.36,0,Healthy
2026-09-19 22:30:00,Block A,Floor 1,Washroom 1,1,0.01,0,Healthy
2026-09-19 22:45:00,Block A,Floor 1,Washroom 1,4,0.59,0,Healthy
2026-09-19 23:00:00,Block A,Floor 1,Washroom 1,1,0.32,0,Healthy
2026-09-19 23:15:00,Block A,Floor 1,Washroom 1,1,0.56,1,Healthy
2026-09-19 23:30:00,Block A,Floor 1,Washroom 1,3,0.77,1,Healthy
2026-09-19 23:45:00,Block A,Floor 1,Washroom 1,3,0.64,1,Healthy
2026-09-20 00:00:00,Block A,Floor 1,Washroom 1,3,0.48,2,Healthy
2026-09-20 00:15:00,Block A,Floor 1,Washroom 1,3,0.83,1,Healthy
2026-09-20 00:30:00,Block A,Floor 1,Washroom 1,0,0.14,1,Healthy
2026-09-20 00:45:00,Block A,Floor 1,Washroom 1,4,0.98,2,Healthy
2026-09-20 01:00:00,Block A,Floor 1,Washroom 1,0,0.03,0,Healthy
2026-09-20 01:15:00,Block A,Floor 1,Washroom 1,1,0.54,0,Healthy
2026-09-20 01:30:00,Block A,Floor 1,Washroom 1,0,0.2,0,Healthy
2026-09-20 01:45:00,Block A,Floor 1,Washroom 1,2,0.8,0,Healthy
2026-09-20 02:00:00,Block A,Floor 1,Washroom 1,1,0.44,0,Healthy
2026-09-20 02:15:00,Block A,Floor 1,Washroom 1,4,0.94,0,Healthy
2026-09-20 02:30:00,Block A,Floor 1,Washroom 1,1,0.48,0,Healthy
2026-09-20 02:45:00,Block A,Floor 1,Washroom 1,2,0.55,0,Healthy
2026-09-20 03:00:00,Block A,Floor 1,Washroom 1,0,0.12,0,Healthy
2026-09-20 03:15:00,Block A,Floor 1,Washroom 1,2,0.69,0,Healthy
2026-09-20 03:30:00,Block A,Floor 1,Washroom 1,1,0.6,0,Healthy
2026-09-20 03:45:00,Block A,Floor 1,Washroom 1,0,0.19,0,Healthy
2026-09-20 04:00:00,Block A,Floor 1,Washroom 1,2,0.75,1,Healthy
2026-09-20 04:15:00,Block A,Floor 1,Washroom 1,2,0.93,0,Healthy
2026-09-20 04:30:00,Block A,Floor 1,Washroom 1,0,0.44,0,Healthy
2026-09-20 04:45:00,Block A,Floor 1,Washroom 1,2,0.75,1,Healthy
2026-09-20 05:00:00,Block A,Floor 1,Washroom 1,0,0.01,0,Healthy
2026-09-20 05:15:00,Block A,Floor 1,Washroom 1,2,0.56,0,Healthy
2026-09-20 05:30:00,Block A,Floor 1,Washroom 1,0,0.16,0,Healthy
2026-09-20 05:45:00,Block A,Floor 1,Washroom 1,2,0.64,1,Healthy
2026-09-19 06:00:00,Block A,Floor 2,Washroom 3,2,0.65,1,Healthy
2026-09-19 06:15:00,Block A,Floor 2,Washroom 3,0,0.12,0,Healthy
2026-09-19 06:30:00,Block A,Floor 2,Washroom 3,3,0.62,1,Healthy
2026-09-19 06:45:00,Block A,Floor 2,Washroom 3,1,0.48,0,Healthy
2026-09-19 07:00:00,Block A,Floor 2,Washroom 3,0,0.0,1,Healthy
2026-09-19 07:15:00,Block A,Floor 2,Washroom 3,3,0.64,1,Healthy
2026-09-19 07:30:00,Block A,Floor 2,Washroom 3,3,0.68,0,Healthy
2026-09-19 07:45:00,Block A,Floor 2,Washroom 3,1,0.57,0,Healthy
2026-09-19 08:00:00,Block A,Floor 2,Washroom 3,8,1.48,1,Healthy
2026-09-19 08:15:00,Block A,Floor 2,Washroom 3,10,2.09,2,Healthy
2026-09-19 08:30:00,Block A,Floor 2,Washroom 3,7,1.5,2,Healthy
2026-09-19 08:45:00,Block A,Floor 2,Washroom 3,9,1.67,4,Healthy
2026-09-19 09:00:00,Block A,Floor 2,Washroom 3,13,2.73,3,Healthy
2026-09-19 09:15:00,Block A,Floor 2,Washroom 3,16,3.1,3,Healthy
2026-09-19 09:30:00,Block A,Floor 2,Washroom 3,0,3.84,0,Healthy
2026-09-19 09:45:00,Block A,Floor 2,Washroom 3,1,3.74,0,Healthy
2026-09-19 10:00:00,Block A,Floor 2,Washroom 3,0,3.75,0,Healthy
2026-09-19 10:15:00,Block A,Floor 2,Washroom 3,1,3.66,0,Healthy
2026-09-19 10:30:00,Block A,Floor 2,Washroom 3,0,3.85,0,Healthy
2026-09-19 10:45:00,Block A,Floor 2,Washroom 3,1,3.77,0,Healthy
2026-09-19 11:00:00,Block A,Floor 2,Washroom 3,0,3.62,0,Healthy
2026-09-19 11:15:00,Block A,Floor 2,Washroom 3,1,3.73,0,Healthy
2026-09-19 11:30:00,Block A,Floor 2,Washroom 3,1,3.84,0,Healthy
2026-09-19 11:45:00,Block A,Floor 2,Washroom 3,0,3.97,0,Healthy
2026-09-19 12:00:00,Block A,Floor 2,Washroom 3,1,3.69,0,Healthy
2026-09-19 12:15:00,Block A,Floor 2,Washroom 3,0,3.74,0,Healthy
2026-09-19 12:30:00,Block A,Floor 2,Washroom 3,16,2.6,1,Healthy
2026-09-19 12:45:00,Block A,Floor 2,Washroom 3,8,1.63,3,Healthy
2026-09-19 13:00:00,Block A,Floor 2,Washroom 3,7,1.54,2,Healthy
2026-09-19 13:15:00,Block A,Floor 2,Washroom 3,13,2.86,4,Healthy
2026-09-19 13:30:00,Block A,Floor 2,Washroom 3,8,1.58,2,Healthy
2026-09-19 13:45:00,Block A,Floor 2,Washroom 3,15,2.98,0,Healthy
2026-09-19 14:00:00,Block A,Floor 2,Washroom 3,9,1.87,1,Healthy
2026-09-19 14:15:00,Block A,Floor 2,Washroom 3,11,2.18,4,Healthy
2026-09-19 14:30:00,Block A,Floor 2,Washroom 3,10,2.02,4,Healthy
2026-09-19 14:45:00,Block A,Floor 2,Washroom 3,19,3.36,7,Healthy
2026-09-19 15:00:00,Block A,Floor 2,Washroom 3,5,0.82,1,Healthy
2026-09-19 15:15:00,Block A,Floor 2,Washroom 3,15,2.89,3,Healthy
2026-09-19 15:30:00,Block A,Floor 2,Washroom 3,9,1.66,2,Healthy
2026-09-19 15:45:00,Block A,Floor 2,Washroom 3,5,1.15,0,Healthy
2026-09-19 16:00:00,Block A,Floor 2,Washroom 3,12,2.05,4,Healthy
2026-09-19 16:15:00,Block A,Floor 2,Washroom 3,9,2.03,1,Healthy
2026-09-19 16:30:00,Block A,Floor 2,Washroom 3,13,2.38,0,Healthy
2026-09-19 16:45:00,Block A,Floor 2,Washroom 3,9,1.7,1,Healthy
2026-09-19 17:00:00,Block A,Floor 2,Washroom 3,2,0.8,1,Healthy
2026-09-19 17:15:00,Block A,Floor 2,Washroom 3,4,0.81,0,Healthy
2026-09-19 17:30:00,Block A,Floor 2,Washroom 3,11,1.93,0,Healthy
2026-09-19 17:45:00,Block A,Floor 2,Washroom 3,14,2.4,4,Healthy
2026-09-19 18:00:00,Block A,Floor 2,Washroom 3,14,2.36,3,Healthy
2026-09-19 18:15:00,Block A,Floor 2,Washroom 3,4,0.67,0,Healthy
2026-09-19 18:30:00,Block A,Floor 2,Washroom 3,2,0.35,0,Healthy
2026-09-19 18:45:00,Block A,Floor 2,Washroom 3,3,0.63,2,Healthy
2026-09-19 19:00:00,Block A,Floor 2,Washroom 3,1,0.32,0,Healthy
2026-09-19 19:15:00,Block A,Floor 2,Washroom 3,0,0.24,0,Healthy
2026-09-19 19:30:00,Block A,Floor 2,Washroom 3,0,0.29,0,Healthy
2026-09-19 19:45:00,Block A,Floor 2,Washroom 3,0,0.0,0,Healthy
2026-09-19 20:00:00,Block A,Floor 2,Washroom 3,2,0.94,0,Healthy
2026-09-19 20:15:00,Block A,Floor 2,Washroom 3,2,0.48,0,Healthy
2026-09-19 20:30:00,Block A,Floor 2,Washroom 3,2,0.74,0,Healthy
2026-09-19 20:45:00,Block A,Floor 2,Washroom 3,1,0.24,0,Healthy
2026-09-19 21:00:00,Block A,Floor 2,Washroom 3,4,0.79,2,Healthy
2026-09-19 21:15:00,Block A,Floor 2,Washroom 3,3,0.28,0,Healthy
2026-09-19 21:30:00,Block A,Floor 2,Washroom 3,0,0.0,0,Healthy
2026-09-19 21:45:00,Block A,Floor 2,Washroom 3,0,0.11,0,Healthy
2026-09-19 22:00:00,Block A,Floor 2,Washroom 3,1,0.14,0,Healthy
2026-09-19 22:15:00,Block A,Floor 2,Washroom 3,3,0.51,0,Healthy
2026-09-19 22:30:00,Block A,Floor 2,Washroom 3,2,0.47,0,Healthy
2026-09-19 22:45:00,Block A,Floor 2,Washroom 3,1,0.46,1,Healthy
2026-09-19 23:00:00,Block A,Floor 2,Washroom 3,1,0.11,0,Healthy
2026-09-19 23:15:00,Block A,Floor 2,Washroom 3,3,0.63,1,Healthy
2026-09-19 23:30:00,Block A,Floor 2,Washroom 3,3,0.28,0,Healthy
2026-09-19 23:45:00,Block A,Floor 2,Washroom 3,0,0.41,0,Healthy
2026-09-20 00:00:00,Block A,Floor 2,Washroom 3,3,0.48,0,Healthy
2026-09-20 00:15:00,Block A,Floor 2,Washroom 3,2,0.52,0,Healthy
2026-09-20 00:30:00,Block A,Floor 2,Washroom 3,1,0.38,0,Healthy
2026-09-20 00:45:00,Block A,Floor 2,Washroom 3,3,0.84,0,Healthy
2026-09-20 01:00:00,Block A,Floor 2,Washroom 3,0,0.33,0,Healthy
2026-09-20 01:15:00,Block A,Floor 2,Washroom 3,0,0.0,0,Healthy
2026-09-20 01:30:00,Block A,Floor 2,Washroom 3,3,1.01,0,Healthy
2026-09-20 01:45:00,Block A,Floor 2,Washroom 3,1,0.17,0,Healthy
2026-09-20 02:00:00,Block A,Floor 2,Washroom 3,1,0.15,0,Healthy
2026-09-20 02:15:00,Block A,Floor 2,Washroom 3,4,1.07,1,Healthy
2026-09-20 02:30:00,Block A,Floor 2,Washroom 3,2,0.59,0,Healthy
2026-09-20 02:45:00,Block A,Floor 2,Washroom 3,2,0.64,0,Healthy
2026-09-20 03:00:00,Block A,Floor 2,Washroom 3,2,0.19,0,Healthy
2026-09-20 03:15:00,Block A,Floor 2,Washroom 3,1,0.1,0,Healthy
2026-09-20 03:30:00,Block A,Floor 2,Washroom 3,4,1.11,2,Healthy
2026-09-20 03:45:00,Block A,Floor 2,Washroom 3,2,0.31,0,Healthy
2026-09-20 04:00:00,Block A,Floor 2,Washroom 3,2,0.28,0,Healthy
2026-09-20 04:15:00,Block A,Floor 2,Washroom 3,1,0.65,0,Healthy
2026-09-20 04:30:00,Block A,Floor 2,Washroom 3,2,0.55,1,Healthy
2026-09-20 04:45:00,Block A,Floor 2,Washroom 3,0,0.12,0,Healthy
2026-09-20 05:00:00,Block A,Floor 2,Washroom 3,0,0.24,0,Healthy
2026-09-20 05:15:00,Block A,Floor 2,Washroom 3,0,0.13,0,Healthy
2026-09-20 05:30:00,Block A,Floor 2,Washroom 3,3,0.87,0,Healthy
2026-09-20 05:45:00,Block A,Floor 2,Washroom 3,0,0.0,0,Healthy
2026-09-19 06:00:00,Block B,Floor 1,Washroom 2,2,0.74,0,Healthy
2026-09-19 06:15:00,Block B,Floor 1,Washroom 2,1,0.11,0,Healthy
2026-09-19 06:30:00,Block B,Floor 1,Washroom 2,2,0.47,1,Healthy
2026-09-19 06:45:00,Block B,Floor 1,Washroom 2,1,0.22,1,Healthy
2026-09-19 07:00:00,Block B,Floor 1,Washroom 2,2,0.56,1,Healthy
2026-09-19 07:15:00,Block B,Floor 1,Washroom 2,4,0.66,0,Healthy
2026-09-19 07:30:00,Block B,Floor 1,Washroom 2,0,0.16,0,Healthy
2026-09-19 07:45:00,Block B,Floor 1,Washroom 2,1,0.55,0,Healthy
2026-09-19 08:00:00,Block B,Floor 1,Washroom 2,13,2.77,1,Healthy
2026-09-19 08:15:00,Block B,Floor 1,Washroom 2,8,1.43,0,Healthy
2026-09-19 08:30:00,Block B,Floor 1,Washroom 2,17,3.54,0,Healthy
2026-09-19 08:45:00,Block B,Floor 1,Washroom 2,19,3.58,5,Healthy
2026-09-19 09:00:00,Block B,Floor 1,Washroom 2,9,1.94,2,Healthy
2026-09-19 09:15:00,Block B,Floor 1,Washroom 2,12,2.36,1,Healthy
2026-09-19 09:30:00,Block B,Floor 1,Washroom 2,13,2.14,2,Healthy
2026-09-19 09:45:00,Block B,Floor 1,Washroom 2,11,2.15,1,Healthy
2026-09-19 10:00:00,Block B,Floor 1,Washroom 2,6,1.16,1,Healthy
2026-09-19 10:15:00,Block B,Floor 1,Washroom 2,13,2.31,3,Healthy
2026-09-19 10:30:00,Block B,Floor 1,Washroom 2,11,2.09,6,Healthy
2026-09-19 10:45:00,Block B,Floor 1,Washroom 2,13,2.71,1,Healthy
2026-09-19 11:00:00,Block B,Floor 1,Washroom 2,5,0.9,1,Healthy
2026-09-19 11:15:00,Block B,Floor 1,Washroom 2,12,2.25,3,Healthy
2026-09-19 11:30:00,Block B,Floor 1,Washroom 2,5,1.12,2,Healthy
2026-09-19 11:45:00,Block B,Floor 1,Washroom 2,9,2.14,1,Healthy
2026-09-19 12:00:00,Block B,Floor 1,Washroom 2,12,2.12,1,Healthy
2026-09-19 12:15:00,Block B,Floor 1,Washroom 2,14,2.56,5,Healthy
2026-09-19 12:30:00,Block B,Floor 1,Washroom 2,4,0.81,3,Healthy
2026-09-19 12:45:00,Block B,Floor 1,Washroom 2,19,3.54,2,Healthy
2026-09-19 13:00:00,Block B,Floor 1,Washroom 2,12,2.39,2,Healthy
2026-09-19 13:15:00,Block B,Floor 1,Washroom 2,14,2.46,1,Healthy
2026-09-19 13:30:00,Block B,Floor 1,Washroom 2,15,2.89,3,Healthy
2026-09-19 13:45:00,Block B,Floor 1,Washroom 2,10,2.01,4,Healthy
2026-09-19 14:00:00,Block B,Floor 1,Washroom 2,13,2.28,0,Healthy
2026-09-19 14:15:00,Block B,Floor 1,Washroom 2,17,3.12,5,Healthy
2026-09-19 14:30:00,Block B,Floor 1,Washroom 2,11,2.12,2,Healthy
2026-09-19 14:45:00,Block B,Floor 1,Washroom 2,15,2.86,2,Healthy
2026-09-19 15:00:00,Block B,Floor 1,Washroom 2,14,2.49,4,Healthy
2026-09-19 15:15:00,Block B,Floor 1,Washroom 2,13,2.21,3,Healthy
2026-09-19 15:30:00,Block B,Floor 1,Washroom 2,6,1.29,3,Healthy
2026-09-19 15:45:00,Block B,Floor 1,Washroom 2,15,3.12,3,Healthy
2026-09-19 16:00:00,Block B,Floor 1,Washroom 2,15,2.87,4,Healthy
2026-09-19 16:15:00,Block B,Floor 1,Washroom 2,14,2.67,1,Healthy
2026-09-19 16:30:00,Block B,Floor 1,Washroom 2,10,2.09,0,Healthy
2026-09-19 16:45:00,Block B,Floor 1,Washroom 2,7,1.67,2,Healthy
2026-09-19 17:00:00,Block B,Floor 1,Washroom 2,7,1.42,0,Healthy
2026-09-19 17:15:00,Block B,Floor 1,Washroom 2,10,2.06,2,Healthy
2026-09-19 17:30:00,Block B,Floor 1,Washroom 2,14,2.29,4,Healthy
2026-09-19 17:45:00,Block B,Floor 1,Washroom 2,16,3.07,1,Healthy
2026-09-19 18:00:00,Block B,Floor 1,Washroom 2,9,4.96,12,Healthy
2026-09-19 18:15:00,Block B,Floor 1,Washroom 2,3,2.28,9,Healthy
2026-09-19 18:30:00,Block B,Floor 1,Washroom 2,0,0.15,9,Healthy
2026-09-19 18:45:00,Block B,Floor 1,Washroom 2,2,0.8,9,Healthy
2026-09-19 19:00:00,Block B,Floor 1,Washroom 2,5,2.25,8,Healthy
2026-09-19 19:15:00,Block B,Floor 1,Washroom 2,2,0.58,0,Healthy
2026-09-19 19:30:00,Block B,Floor 1,Washroom 2,2,0.48,0,Healthy
2026-09-19 19:45:00,Block B,Floor 1,Washroom 2,1,0.53,0,Healthy
2026-09-19 20:00:00,Block B,Floor 1,Washroom 2,1,0.14,0,Healthy
2026-09-19 20:15:00,Block B,Floor 1,Washroom 2,4,0.86,1,Healthy
2026-09-19 20:30:00,Block B,Floor 1,Washroom 2,1,0.04,0,Healthy
2026-09-19 20:45:00,Block B,Floor 1,Washroom 2,2,0.75,0,Healthy
2026-09-19 21:00:00,Block B,Floor 1,Washroom 2,1,0.59,0,Healthy
2026-09-19 21:15:00,Block B,Floor 1,Washroom 2,1,0.41,0,Healthy
2026-09-19 21:30:00,Block B,Floor 1,Washroom 2,2,0.44,0,Healthy
2026-09-19 21:45:00,Block B,Floor 1,Washroom 2,0,0.27,0,Healthy
2026-09-19 22:00:00,Block B,Floor 1,Washroom 2,1,0.33,0,Healthy
2026-09-19 22:15:00,Block B,Floor 1,Washroom 2,2,0.39,1,Healthy
2026-09-19 22:30:00,Block B,Floor 1,Washroom 2,4,0.96,1,Healthy
2026-09-19 22:45:00,Block B,Floor 1,Washroom 2,3,0.8,0,Healthy
2026-09-19 23:00:00,Block B,Floor 1,Washroom 2,2,0.31,1,Healthy
2026-09-19 23:15:00,Block B,Floor 1,Washroom 2,0,0.38,0,Healthy
2026-09-19 23:30:00,Block B,Floor 1,Washroom 2,4,0.82,1,Healthy
2026-09-19 23:45:00,Block B,Floor 1,Washroom 2,2,0.52,0,Healthy
2026-09-20 00:00:00,Block B,Floor 1,Washroom 2,1,0.39,0,Healthy
2026-09-20 00:15:00,Block B,Floor 1,Washroom 2,2,0.51,0,Healthy
2026-09-20 00:30:00,Block B,Floor 1,Washroom 2,1,0.3,0,Healthy
2026-09-20 00:45:00,Block B,Floor 1,Washroom 2,4,0.85,0,Healthy
2026-09-20 01:00:00,Block B,Floor 1,Washroom 2,0,0.0,0,Healthy
2026-09-20 01:15:00,Block B,Floor 1,Washroom 2,0,0.4,0,Healthy
2026-09-20 01:30:00,Block B,Floor 1,Washroom 2,3,0.7,1,Healthy
2026-09-20 01:45:00,Block B,Floor 1,Washroom 2,2,0.82,0,Healthy
2026-09-20 02:00:00,Block B,Floor 1,Washroom 2,0,0.05,0,Healthy
2026-09-20 02:15:00,Block B,Floor 1,Washroom 2,3,0.78,0,Healthy
2026-09-20 02:30:00,Block B,Floor 1,Washroom 2,3,0.88,0,Healthy
2026-09-20 02:45:00,Block B,Floor 1,Washroom 2,3,0.74,1,Healthy
2026-09-20 03:00:00,Block B,Floor 1,Washroom 2,2,0.51,2,Healthy
2026-09-20 03:15:00,Block B,Floor 1,Washroom 2,0,0.08,0,Healthy
2026-09-20 03:30:00,Block B,Floor 1,Washroom 2,0,0.0,0,Healthy
2026-09-20 03:45:00,Block B,Floor 1,Washroom 2,5,1.37,0,Healthy
2026-09-20 04:00:00,Block B,Floor 1,Washroom 2,1,0.12,0,Healthy
2026-09-20 04:15:00,Block B,Floor 1,Washroom 2,1,0.15,0,Healthy
2026-09-20 04:30:00,Block B,Floor 1,Washroom 2,0,0.01,0,Healthy
2026-09-20 04:45:00,Block B,Floor 1,Washroom 2,2,0.59,0,Healthy
2026-09-20 05:00:00,Block B,Floor 1,Washroom 2,3,0.55,0,Healthy
2026-09-20 05:15:00,Block B,Floor 1,Washroom 2,1,0.08,1,Healthy
2026-09-20 05:30:00,Block B,Floor 1,Washroom 2,2,0.48,0,Healthy
2026-09-20 05:45:00,Block B,Floor 1,Washroom 2,3,0.64,0,Healthy
2026-09-19 06:00:00,Block C,Floor 2,Washroom 4,4,1.22,0,Healthy
2026-09-19 06:15:00,Block C,Floor 2,Washroom 4,0,0.42,0,Healthy
2026-09-19 06:30:00,Block C,Floor 2,Washroom 4,0,0.06,0,Healthy
2026-09-19 06:45:00,Block C,Floor 2,Washroom 4,1,0.21,0,Healthy
2026-09-19 07:00:00,Block C,Floor 2,Washroom 4,0,0.0,0,Healthy
2026-09-19 07:15:00,Block C,Floor 2,Washroom 4,2,0.67,0,Healthy
2026-09-19 07:30:00,Block C,Floor 2,Washroom 4,1,0.2,0,Healthy
2026-09-19 07:45:00,Block C,Floor 2,Washroom 4,0,0.0,0,Healthy
2026-09-19 08:00:00,Block C,Floor 2,Washroom 4,7,1.65,4,Healthy
2026-09-19 08:15:00,Block C,Floor 2,Washroom 4,14,2.8,3,Healthy
2026-09-19 08:30:00,Block C,Floor 2,Washroom 4,7,1.2,2,Healthy
2026-09-19 08:45:00,Block C,Floor 2,Washroom 4,13,2.35,1,Healthy
2026-09-19 09:00:00,Block C,Floor 2,Washroom 4,14,2.95,3,Healthy
2026-09-19 09:15:00,Block C,Floor 2,Washroom 4,16,3.04,4,Healthy
2026-09-19 09:30:00,Block C,Floor 2,Washroom 4,18,3.25,4,Healthy
2026-09-19 09:45:00,Block C,Floor 2,Washroom 4,18,3.3,3,Healthy
2026-09-19 10:00:00,Block C,Floor 2,Washroom 4,11,2.11,4,Healthy
2026-09-19 10:15:00,Block C,Floor 2,Washroom 4,17,3.14,2,Healthy
2026-09-19 10:30:00,Block C,Floor 2,Washroom 4,9,2.06,1,Healthy
2026-09-19 10:45:00,Block C,Floor 2,Washroom 4,16,2.64,2,Healthy
2026-09-19 11:00:00,Block C,Floor 2,Washroom 4,13,2.25,3,Healthy
2026-09-19 11:15:00,Block C,Floor 2,Washroom 4,10,1.88,5,Healthy
2026-09-19 11:30:00,Block C,Floor 2,Washroom 4,8,1.6,1,Healthy
2026-09-19 11:45:00,Block C,Floor 2,Washroom 4,14,2.81,4,Healthy
2026-09-19 12:00:00,Block C,Floor 2,Washroom 4,10,1.74,3,Healthy
2026-09-19 12:15:00,Block C,Floor 2,Washroom 4,19,3.53,3,Healthy
2026-09-19 12:30:00,Block C,Floor 2,Washroom 4,9,1.77,1,Healthy
2026-09-19 12:45:00,Block C,Floor 2,Washroom 4,15,2.9,1,Healthy
2026-09-19 13:00:00,Block C,Floor 2,Washroom 4,14,2.33,2,Healthy
2026-09-19 13:15:00,Block C,Floor 2,Washroom 4,13,2.82,0,Healthy
2026-09-19 13:30:00,Block C,Floor 2,Washroom 4,14,3.16,3,Healthy
2026-09-19 13:45:00,Block C,Floor 2,Washroom 4,9,1.58,1,Healthy
2026-09-19 14:00:00,Block C,Floor 2,Washroom 4,9,1.93,1,Healthy
2026-09-19 14:15:00,Block C,Floor 2,Washroom 4,14,2.44,1,Healthy
2026-09-19 14:30:00,Block C,Floor 2,Washroom 4,19,3.65,5,Healthy
